server,server_version,alg,profile,token_bytes,bearer_header_bytes,result,accepted
jetty,12.0.16,RS256,minimal-access,737,759,200,true
jetty,12.0.16,RS256,oidc-id-token,1041,1063,200,true
jetty,12.0.16,RS256,enterprise-access,3022,3044,200,true
jetty,12.0.16,ES256,minimal-access,481,503,200,true
jetty,12.0.16,ES256,oidc-id-token,785,807,200,true
jetty,12.0.16,ES256,enterprise-access,2766,2788,200,true
jetty,12.0.16,EdDSA,minimal-access,481,503,200,true
jetty,12.0.16,EdDSA,oidc-id-token,785,807,200,true
jetty,12.0.16,EdDSA,enterprise-access,2766,2788,200,true
jetty,12.0.16,ML-DSA-44,minimal-access,3627,3649,200,true
jetty,12.0.16,ML-DSA-44,oidc-id-token,3931,3953,200,true
jetty,12.0.16,ML-DSA-44,enterprise-access,5912,5934,200,true
jetty,12.0.16,ML-DSA-65,minimal-access,4812,4834,200,true
jetty,12.0.16,ML-DSA-65,oidc-id-token,5116,5138,200,true
jetty,12.0.16,ML-DSA-65,enterprise-access,7097,7119,200,true
jetty,12.0.16,ML-DSA-87,minimal-access,6570,6592,200,true
jetty,12.0.16,ML-DSA-87,oidc-id-token,6874,6896,200,true
jetty,12.0.16,ML-DSA-87,enterprise-access,8855,8877,431,false
jetty,12.0.16,SLH-DSA-SHA2-128s,minimal-access,10886,10908,431,false
jetty,12.0.16,SLH-DSA-SHA2-128s,oidc-id-token,11190,11212,431,false
jetty,12.0.16,SLH-DSA-SHA2-128s,enterprise-access,13171,13193,431,false
jetty,12.0.16,SLH-DSA-SHA2-128f,minimal-access,23195,23217,431,false
jetty,12.0.16,SLH-DSA-SHA2-128f,oidc-id-token,23499,23521,431,false
jetty,12.0.16,SLH-DSA-SHA2-128f,enterprise-access,25480,25502,431,false
jetty,12.0.16,SYNTHETIC-CEILING,-,8166,8188,max_accepted_token_bytes,-
tomcat,10.1.34.0,RS256,minimal-access,737,759,200,true
tomcat,10.1.34.0,RS256,oidc-id-token,1041,1063,200,true
tomcat,10.1.34.0,RS256,enterprise-access,3022,3044,200,true
tomcat,10.1.34.0,ES256,minimal-access,481,503,200,true
tomcat,10.1.34.0,ES256,oidc-id-token,785,807,200,true
tomcat,10.1.34.0,ES256,enterprise-access,2766,2788,200,true
tomcat,10.1.34.0,EdDSA,minimal-access,481,503,200,true
tomcat,10.1.34.0,EdDSA,oidc-id-token,785,807,200,true
tomcat,10.1.34.0,EdDSA,enterprise-access,2766,2788,200,true
tomcat,10.1.34.0,ML-DSA-44,minimal-access,3627,3649,200,true
tomcat,10.1.34.0,ML-DSA-44,oidc-id-token,3931,3953,200,true
tomcat,10.1.34.0,ML-DSA-44,enterprise-access,5912,5934,200,true
tomcat,10.1.34.0,ML-DSA-65,minimal-access,4812,4834,200,true
tomcat,10.1.34.0,ML-DSA-65,oidc-id-token,5116,5138,200,true
tomcat,10.1.34.0,ML-DSA-65,enterprise-access,7097,7119,200,true
tomcat,10.1.34.0,ML-DSA-87,minimal-access,6570,6592,200,true
tomcat,10.1.34.0,ML-DSA-87,oidc-id-token,6874,6896,200,true
tomcat,10.1.34.0,ML-DSA-87,enterprise-access,8855,8877,400,false
tomcat,10.1.34.0,SLH-DSA-SHA2-128s,minimal-access,10886,10908,400,false
tomcat,10.1.34.0,SLH-DSA-SHA2-128s,oidc-id-token,11190,11212,400,false
tomcat,10.1.34.0,SLH-DSA-SHA2-128s,enterprise-access,13171,13193,400,false
tomcat,10.1.34.0,SLH-DSA-SHA2-128f,minimal-access,23195,23217,400,false
tomcat,10.1.34.0,SLH-DSA-SHA2-128f,oidc-id-token,23499,23521,400,false
tomcat,10.1.34.0,SLH-DSA-SHA2-128f,enterprise-access,25480,25502,400,false
tomcat,10.1.34.0,SYNTHETIC-CEILING,-,8114,8136,max_accepted_token_bytes,-
undertow,2.3.18.Final,RS256,minimal-access,737,759,200,true
undertow,2.3.18.Final,RS256,oidc-id-token,1041,1063,200,true
undertow,2.3.18.Final,RS256,enterprise-access,3022,3044,200,true
undertow,2.3.18.Final,ES256,minimal-access,481,503,200,true
undertow,2.3.18.Final,ES256,oidc-id-token,785,807,200,true
undertow,2.3.18.Final,ES256,enterprise-access,2766,2788,200,true
undertow,2.3.18.Final,EdDSA,minimal-access,481,503,200,true
undertow,2.3.18.Final,EdDSA,oidc-id-token,785,807,200,true
undertow,2.3.18.Final,EdDSA,enterprise-access,2766,2788,200,true
undertow,2.3.18.Final,ML-DSA-44,minimal-access,3627,3649,200,true
undertow,2.3.18.Final,ML-DSA-44,oidc-id-token,3931,3953,200,true
undertow,2.3.18.Final,ML-DSA-44,enterprise-access,5912,5934,200,true
undertow,2.3.18.Final,ML-DSA-65,minimal-access,4812,4834,200,true
undertow,2.3.18.Final,ML-DSA-65,oidc-id-token,5116,5138,200,true
undertow,2.3.18.Final,ML-DSA-65,enterprise-access,7097,7119,200,true
undertow,2.3.18.Final,ML-DSA-87,minimal-access,6570,6592,200,true
undertow,2.3.18.Final,ML-DSA-87,oidc-id-token,6874,6896,200,true
undertow,2.3.18.Final,ML-DSA-87,enterprise-access,8855,8877,200,true
undertow,2.3.18.Final,SLH-DSA-SHA2-128s,minimal-access,10886,10908,200,true
undertow,2.3.18.Final,SLH-DSA-SHA2-128s,oidc-id-token,11190,11212,200,true
undertow,2.3.18.Final,SLH-DSA-SHA2-128s,enterprise-access,13171,13193,200,true
undertow,2.3.18.Final,SLH-DSA-SHA2-128f,minimal-access,23195,23217,200,true
undertow,2.3.18.Final,SLH-DSA-SHA2-128f,oidc-id-token,23499,23521,200,true
undertow,2.3.18.Final,SLH-DSA-SHA2-128f,enterprise-access,25480,25502,200,true
undertow,2.3.18.Final,SYNTHETIC-CEILING,-,1048498,1048520,max_accepted_token_bytes,-
netty,4.1.x,RS256,minimal-access,737,759,200,true
netty,4.1.x,RS256,oidc-id-token,1041,1063,200,true
netty,4.1.x,RS256,enterprise-access,3022,3044,200,true
netty,4.1.x,ES256,minimal-access,481,503,200,true
netty,4.1.x,ES256,oidc-id-token,785,807,200,true
netty,4.1.x,ES256,enterprise-access,2766,2788,200,true
netty,4.1.x,EdDSA,minimal-access,481,503,200,true
netty,4.1.x,EdDSA,oidc-id-token,785,807,200,true
netty,4.1.x,EdDSA,enterprise-access,2766,2788,200,true
netty,4.1.x,ML-DSA-44,minimal-access,3627,3649,200,true
netty,4.1.x,ML-DSA-44,oidc-id-token,3931,3953,200,true
netty,4.1.x,ML-DSA-44,enterprise-access,5912,5934,200,true
netty,4.1.x,ML-DSA-65,minimal-access,4812,4834,200,true
netty,4.1.x,ML-DSA-65,oidc-id-token,5116,5138,200,true
netty,4.1.x,ML-DSA-65,enterprise-access,7097,7119,200,true
netty,4.1.x,ML-DSA-87,minimal-access,6570,6592,200,true
netty,4.1.x,ML-DSA-87,oidc-id-token,6874,6896,200,true
netty,4.1.x,ML-DSA-87,enterprise-access,8855,8877,431,false
netty,4.1.x,SLH-DSA-SHA2-128s,minimal-access,10886,10908,431,false
netty,4.1.x,SLH-DSA-SHA2-128s,oidc-id-token,11190,11212,431,false
netty,4.1.x,SLH-DSA-SHA2-128s,enterprise-access,13171,13193,431,false
netty,4.1.x,SLH-DSA-SHA2-128f,minimal-access,23195,23217,431,false
netty,4.1.x,SLH-DSA-SHA2-128f,oidc-id-token,23499,23521,431,false
netty,4.1.x,SLH-DSA-SHA2-128f,enterprise-access,25480,25502,431,false
netty,4.1.x,SYNTHETIC-CEILING,-,8138,8160,max_accepted_token_bytes,-
